variable_names,psextype,psextype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pedutype,pedutype,pedutype,pedutype,pedutype
variable_categories,1,2,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,,,,,,,,,,,
191,6273,6595,1376,1041,987,1773,1619,1720,1910,1250,1190,1815,97,8108,73,31,219,2524,5014,2709,2581,1973,591
192,6741,6743,1849,1338,1395,2106,1747,1780,1520,990,757,5447,87,3588,132,87,400,3741,7085,2907,2302,974,215
193,8388,8486,2094,1503,1592,2367,2234,2238,2156,1494,1194,7707,191,2768,126,17,594,5468,5386,3502,4515,2336,1134
194,6226,6693,1632,1265,1287,2002,1676,1634,1513,985,920,6945,148,1132,96,12,264,4321,5300,3074,2953,1181,409
195,7243,7208,2458,1681,1688,2316,1927,1799,1311,728,539,11045,197,69,66,19,158,2895,8523,2942,2397,507,82
196,6784,6630,2350,1594,1546,2071,1856,1597,1278,719,401,7755,472,39,49,12,171,4913,8436,2335,2104,431,106
197,5905,5936,1894,1326,1262,1936,1615,1416,1165,718,506,5436,36,131,102,4,170,5958,6900,2160,2064,553,162
198,10012,8712,2167,1542,2033,3782,2893,2452,1671,1084,1098,8454,1514,2622,173,36,508,5416,8637,3283,3337,2350,1116
199,6533,6401,2424,1665,1492,2075,1816,1628,1032,502,298,5995,1018,77,149,14,195,5484,8657,2071,1756,350,99
200,5777,5809,1321,902,2825,1912,1298,1192,1049,585,500,4155,1731,1378,80,24,315,3899,4882,1953,3145,1200,405
201,7503,8168,1759,1303,1484,2612,2221,2139,1999,1250,899,5020,6573,691,44,26,465,2850,5614,2898,4198,1961,999
202,9112,9764,1936,1013,1596,3507,2954,2565,2384,1629,1289,11592,2821,2317,76,19,1163,888,3840,1626,4404,5351,3654
203,5512,5845,1703,995,1085,1789,1570,1505,1355,803,548,3388,4454,217,139,79,469,2609,4665,2030,3038,1163,460
204,8890,9705,3066,1799,1918,2986,2409,2463,2040,1060,852,5433,6347,201,144,17,402,6049,9301,3965,3964,1047,318
205,7817,8531,3194,2139,1898,2614,2073,1993,1418,620,397,5865,3744,102,202,15,286,6131,9915,3271,2526,517,117
206,8484,8775,2820,1930,2048,2808,2394,2027,1687,983,558,10756,712,110,107,11,255,5306,9705,3452,3167,739,194
207,5414,5693,1508,1125,1087,1737,1561,1516,1251,827,493,6835,374,785,63,15,298,2736,4205,2321,2813,1271,496
208,6945,7238,1871,1324,1646,1959,1891,1796,1688,1085,920,6515,237,1562,130,12,623,5103,4786,3279,4036,1472,610
209,6072,6119,1817,1145,1282,1863,1626,1571,1439,855,589,4450,668,1662,63,88,399,4858,4864,2640,3088,1229,370
210,5789,5939,1736,1411,1316,1719,1601,1574,1204,684,479,4340,1386,925,40,61,360,4614,5435,2301,2829,830,332
