variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
314,637,1085,819,819,506,289,115,128
315,818,1313,790,727,347,179,49,60
316,526,1203,934,968,534,220,89,37
317,1153,1394,984,887,501,208,76,87
318,641,1075,789,684,445,200,86,76
319,2396,2258,905,590,212,52,12,12
320,2752,2099,609,284,85,37,13,0
321,3270,2332,780,396,157,65,20,15
322,1823,2101,694,484,107,46,21,11
323,1186,1479,714,590,213,71,31,45
324,834,1278,686,618,261,112,85,58
325,643,867,591,566,302,144,84,115
326,1296,1739,922,921,603,275,141,94
327,1187,1068,769,722,477,213,101,119
328,931,1817,1174,1318,739,373,154,99
329,1214,1850,830,769,565,182,67,112
330,1829,2691,867,768,313,107,22,43
331,966,1533,601,492,209,106,24,19
332,897,1305,920,780,339,196,63,59
333,819,1364,723,620,302,130,63,60
334,997,1322,710,575,274,54,40,18
335,1103,1663,841,827,244,88,19,23
336,1271,1704,985,802,248,61,16,29
337,706,1160,644,713,324,119,60,49
338,611,882,641,574,439,263,86,178
339,707,1122,502,515,320,155,48,38
340,2156,2647,1059,913,439,173,43,64
341,2120,2646,1397,1209,429,74,34,18
342,1280,1896,1228,971,304,129,18,23
343,1319,2156,1021,754,267,124,48,45
344,557,1169,919,891,376,185,59,94
345,338,687,606,555,370,169,84,113
346,580,1197,671,677,372,170,73,49
347,882,1582,1042,1120,260,89,25,12
348,1139,1627,992,898,246,59,19,5
349,1441,1534,737,550,285,136,43,73
350,1257,1613,954,893,428,144,79,63
351,641,1147,691,770,293,106,27,16
352,538,1157,757,813,287,89,35,18
353,412,767,586,784,317,167,76,89
354,360,550,471,468,338,226,111,165
355,976,1572,838,723,363,150,83,90
356,1504,1613,698,629,199,95,20,21
357,1984,2730,981,822,388,130,53,26
358,1428,1681,933,729,335,156,92,45
359,868,1418,905,845,412,218,79,44
360,995,1740,757,696,372,136,51,40
361,2139,2823,1020,844,347,109,55,34
362,1213,1604,795,648,282,96,33,8
